index,value
1,0.49372
2,1.0899
3,1.7159
4,1.7933
5,1.6644
6,1.607
7,1.8347
8,1.2808
9,0.84264
10,0.72247
11,0.75822
12,0.67281
13,0.81103
14,1.468
15,1.8819
16,2.0361
17,2.086
18,2.0907
19,1.7112
20,1.0392
21,0.66415
22,0.49317
23,0.42827
24,0.46402
25,0.9875
26,1.6702
27,1.8051
28,1.683
29,1.5969
30,1.8419
31,1.3614
32,0.87635
33,0.72505
34,0.75283
35,0.688
36,0.75534
37,1.3864
38,1.8493
39,2.0237
40,2.0853
41,2.0892
42,1.8038
43,1.1085
44,0.69872
45,0.50924
46,0.43047
47,0.44065
48,0.88706
49,1.6128
50,1.8127
51,1.7012
52,1.5893
53,1.8219
54,1.4451
55,0.91711
56,0.72649
57,0.73915
58,0.70583
59,0.71266
60,1.2998
61,1.8135
62,2.0076
63,2.081
64,2.081
65,1.8864
66,1.1819
67,0.7346
68,0.52516
69,0.44066
70,0.42909
71,0.79719
72,1.5465
73,1.8124
74,1.7208
75,1.6005
76,1.7914
77,1.5302
78,0.96391
79,0.73587
80,0.73687
81,0.72055
82,0.67989
83,1.2092
84,1.7704
85,1.993
86,2.0767
87,2.0824
88,1.9611
89,1.2627
90,0.7741
91,0.53807
92,0.44319
93,0.41882
94,0.71238
95,1.4672
96,1.8067
97,1.7305
98,1.6008
99,1.7408
100,1.6129
101,1.0175
102,0.75381
103,0.73618
104,0.74272
105,0.66435
106,1.1192
107,1.722
108,1.978
109,2.0715
110,2.084
111,2.0192
112,1.3477
113,0.81856
114,0.56017
115,0.45034
116,0.41326
117,0.63911
118,1.3797
119,1.7933
120,1.7496
121,1.6094
122,1.6911
123,1.6892
124,1.076
125,0.76837
126,0.73326
127,0.75826
128,0.65816
129,1.0327
130,1.6683
131,1.963
132,2.0677
133,2.0841
134,2.059
135,1.4358
136,0.86648
137,0.57969
138,0.45933
139,0.4155
140,0.5798
141,1.2865
142,1.7743
143,1.7647
144,1.6291
145,1.6556
146,1.7557
147,1.1398
148,0.78995
149,0.71695
150,0.75637
151,0.6539
152,0.94851
153,1.6064
154,1.9362
155,2.0563
156,2.0832
157,2.0814
158,1.5287
159,0.92162
160,0.60562
161,0.47
162,0.41908
163,0.53057
164,1.1856
165,1.7478
166,1.7803
167,1.648
168,1.6271
