,0,1,2,3
0,-4.4035376,-0.2361028,1.6951407,1.2907521
1,-4.7531153,-0.217629,1.4686481,1.2920187
2,-5.1325409,-0.2014372,1.2736783,1.2931124
3,-5.5441417,-0.1870949,1.1058805,1.2940538
4,-5.9904761,-0.1742889,0.9615036,1.2948596
5,-6.474343,-0.162789,0.8373151,1.295544
6,-6.998795,-0.1524236,0.7305308,1.2961193
7,-7.5671547,-0.1430634,0.6387538,1.296596
8,-8.1830338,-0.1346095,0.5599221,1.2969837
9,-8.8503538,-0.1269856,0.4922627,1.297291
10,-9.5733707,-0.120133,0.4342533,1.2975261
11,-10.3567002,-0.1140071,0.3845881,1.2976962
12,-11.2053475,-0.1085752,0.3421498,1.2978086
13,-12.124738,-0.1038155,0.3059848,1.2978701
14,-13.1207517,-0.0997168,0.2752829,1.2978872
15,-14.1997608,-0.0962788,0.2493605,1.2978667
16,-15.3686697,-0.0935139,0.2276464,1.2978151
17,-16.6349594,-0.0914487,0.2096717,1.2977393
18,-18.0067348,-0.090128,0.1950619,1.2976466
19,-19.4927765,-0.0896192,0.1835334,1.2975447
20,-21.1025968,-0.0900202,0.1748932,1.2974421
21,-22.8465006,-0.0914691,0.1690448,1.2973486
22,-24.7356504,-0.0941607,0.1659999,1.2972756
23,-26.7821382,-0.0983687,0.1659009,1.2972369
24,-28.9990617,-0.104481,0.1690574,1.2972493
25,-31.4006073,-0.1130536,0.1760065,1.2973347
26,-34.0021398,-0.1248951,0.187609,1.2975213
27,-36.8202973,-0.1412027,0.2052067,1.2978474
28,-39.8730932,-0.1637867,0.2308823,1.2983661
29,-43.1800223,-0.1954496,0.2678996,1.2991531
30,-46.7621663,-0.2406462,0.3214666,1.3003197
31,-50.6422892,-0.3066684,0.400101,1.3020346
32,-54.8448928,-0.405843,0.5181513,1.304562
33,-59.3961581,-0.5597588,0.700622,1.3083309
34,-64.3235515,-0.8077182,0.992771,1.3140646
35,-69.6544246,-1.2243522,1.4800114,1.3230351
36,-75.4113443,-1.9579887,2.3310433,1.3375815
37,-81.5958309,-3.3180806,3.8956781,1.3622221
38,-88.1267372,-5.9826321,6.9361054,1.4061474
39,-94.5824764,-11.4975774,13.1836487,1.489035
40,-99.030567,-23.352408,26.5575482,1.6545671
41,-92.9472266,-47.4409459,53.9726601,1.9953576
42,-51.8168549,-76.5319683,90.3225435,2.6279825
43,16.476583,-62.7428655,89.3865057,3.3631077
44,51.3639551,-18.6811538,63.7799289,3.768796
45,56.8695376,13.7662583,54.7050299,3.7794474
46,47.1825946,33.7456569,59.258347,3.5310789
47,26.059535,41.3721002,64.2519294,3.1427211
48,2.5732434,34.6627683,60.370567,2.751741
49,-13.3959469,20.2792432,50.4910099,2.4740516
50,-20.9758801,6.9048462,41.3586075,2.3399707
51,-23.5292918,-2.4180706,35.2459944,2.3200024
